sustainability_id,product_id,contents
13,EF1KL133KH93IAC,"""<p>Materials 1 : 81% Merino wool 16% Viscose 3% Metallized polyester</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Knitting : France</li>\r\n    </ul>\r\n    <p>Yarns 1 : 100% Merino wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n    </ul>\r\n    <p>Yarns 2 : 82% Viscose 18% Metallized polyester</p>\r\n    <ul>\r\n        <li>Dyeing : China, Bulgaria</li>\r\n    </ul>"""
14,EF1LC245JJ95EDY,"""<p>Materials 1 : 97% Viscose 2% Polyamide 1% Elastane</p>\r\n    <ul>\r\n        <li>Dyeing : Italy, United Kingdom, Bulgaria</li>\r\n        <li>Knitting : Italy</li>\r\n    </ul>\r\n    <p>Linings : 100% Polyester</p>\r\n    <ul>\r\n        <li>Dyeing : South Korea</li>\r\n        <li>Weaving : South Korea</li>\r\n    </ul>"""
15,EF1PO160WC090PA,"""<p>Materials 1 : 100% Sheep wool</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Weaving : Italy</li>\r\n    </ul>\r\n    <p>Linings : 52% Viscose 48% Cotton</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Weaving : France</li>\r\n    </ul>"""
16,CF1MA012DB690FA,"""<p>Materials 1 : 34% Cotton 33% Cotton 33% Cotton</p>\r\n    <ul>\r\n        <li>Weaving :</li>\r\n    </ul>\r\n    <p>Lining : 97% Cotton 3% Elastane</p>\r\n    <ul>\r\n        <li>Dyeing : Tunisia</li>\r\n        <li>Weaving : Pakistan</li>\r\n    </ul>"""
17,EF1KL220KH806FF,"""<p>Materials 1 : 84% Viscose 8% Polyamide 8% Polyester</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n        <li>Knitting : France</li>\r\n    </ul>\r\n    <p>Yarns 1 : 88% Viscose 12% Polyester</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n    </ul>\r\n    <p>Yarns 2 : 76% Viscose 24% Polyamide</p>\r\n    <ul>\r\n        <li>Dyeing : Italy</li>\r\n    </ul>\r\n    <p>Yarns 3 : 88% Polyamide 12% Elastane</p>\r\n    <ul>\r\n        <li>Dyeing : Spain</li>\r\n    </ul>"""
18,BKB852200104,{}
19,EN1DB943LHLB0PA,{}
20,EN1DB530LHLB0PA,{}
21,EN1BQ954LETF0PA,{}
22,EN1BQ954TTSD6FF,{}
23,DN0FD871LETF0DA,{}
24,EN1DA961TECSGAU,{}
25,EN1LN245LVGU0PA,{}
26,DN1FM872TCFEGEM,{}
27,EN1VI736KRCTEAB,"""<p>Materials 1 : 50% Nylon 50% Polyurethane</p>\r\n    <ul>\r\n        <li>Stitching : China</li>\r\n        <li>Assembly : China</li>\r\n        <li>Finishing : China</li>\r\n    </ul>\r\n    <p>Releases microplastics into the environment during washing.</p>"""
28,EM1VI360TRIDSEE,"""<p>Materials 1 : 52% Polyester 48% Cotton</p>\r\n    <ul>\r\n        <li>Stitching : Italy</li>\r\n        <li>Assembly : Italy</li>\r\n        <li>Finishing : Italy</li>\r\n    </ul>\r\n    <p>Releases microplastics into the environment during washing.</p>"""
29,EN1VI735TRIDSEE,"""<p>Materials 1 : 52% Polyester 48% Cotton</p>\r\n    <ul>\r\n        <li>Stitching : Italy</li>\r\n        <li>Assembly : Italy</li>\r\n        <li>Finishing : Italy</li>\r\n    </ul>\r\n    <p>Releases microplastics into the environment during washing.</p>"""
30,CN0VI727TDNM6KF,"""<p>Materials 1 : 100% Calf leather</p>\r\n    <ul>\r\n        <li>Assembly : Italia</li>\r\n        <li>Stitching : Germany</li>\r\n        <li>Finishing : Italia</li>\r\n    </ul>"""
31,DN1VI714TRCMEAB,"""<p>Materials 1 : 100% Polyester</p>\r\n    <ul>\r\n        <li>Assembly : Italy</li>\r\n        <li>Stiching : Albania</li>\r\n        <li>Finishing : Italy</li>\r\n    </ul>"""
32,CN0VI730LLNP0CV,"""<p>Materials 1 : 100% Bovine leather</p>\r\n    <ul>\r\n        <li>Assembly : China</li>\r\n        <li>Stitching : China</li>\r\n        <li>Finishing : China</li>\r\n    </ul>"""
33,EN1VI733TRGYGRU,"""<p>Materials 1 : 50% Nylon 50% Polyurethane</p>\r\n    <ul>\r\n        <li>Stitching : China</li>\r\n        <li>Assembly : China</li>\r\n        <li>Finishing : China</li>\r\n    </ul>\r\n    <p>Releases microplastics into the environment during washing.</p>"""
34,EN1UH078LVHSEAW,"""<p>Materials 1 : 100% Caprine leather</p>\r\n    <ul>\r\n        <li>Stitching : Italy</li>\r\n        <li>Assembly : Italy</li>\r\n        <li>Finishing : Italy</li>\r\n    </ul>"""
